Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Eliezer Mayenda,12.0,es ESP,FW,19-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,2.0,6
Romaine Mundle,14.0,eng ENG,LW,21-150,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,1.0,1.0,1.0,0.2,0.2,0.0,3.0,0.0,23.0,33.0,69.7,4.0,31.0,6.0,6.0,2.0,0.0,2.0,3.0,6
Patrick Roberts,10.0,eng ENG,RW,27-229,0.0,0.0,0.0,0.0,3.375,0.0,1.125,0.0,51.74999999999999,1.125,3.375,0.0,0.1125,0.1125,0.0,3.375,1.125,34.875,41.625,94.27499999999999,5.625,31.499999999999996,2.25,6.75,3.375,0.0,0.0,0.0,6
Wilson Isidor,18.0,fr FRA,RW,24-025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,900.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Chris Rigg,11.0,eng ENG,AM,17-095,1.0112359550561798,0.0,0.0,0.0,1.0112359550561798,1.0112359550561798,1.0112359550561798,0.0,33.37078651685393,4.044943820224719,1.0112359550561798,1.0112359550561798,0.8089887640449439,0.8089887640449439,0.0,1.0112359550561798,1.0112359550561798,17.191011235955056,20.224719101123593,85.95505617977528,2.0224719101123596,14.157303370786517,3.033707865168539,3.033707865168539,1.0112359550561798,0.0,2.0224719101123596,1.0112359550561798,6
Daniel Ballard,5.0,nir NIR,AM,24-365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Jobe Bellingham,7.0,eng ENG,DM,18-364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,2.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,32.0,37.0,86.5,3.0,25.0,1.0,1.0,1.0,0.0,1.0,3.0,6
Daniel Neil,4.0,eng ENG,DM,23-056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,33.0,36.0,91.7,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Dennis Cirkin,3.0,eng ENG,LB,22-168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,24.0,34.0,70.6,1.0,21.0,1.0,3.0,1.0,0.0,2.0,1.0,6
Luke O'Nien,13.0,eng ENG,CB,29-305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,51.0,86.3,1.0,27.0,1.0,1.0,0.0,0.0,0.0,3.0,6
Chris Mepham,26.0,wls WAL,CB,26-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,30.0,36.0,83.3,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Trai Hume,32.0,nir NIR,RB,22-187,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,48.99999999999999,89.8,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,6
Anthony Patterson,1.0,eng ENG,GK,24-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,34.0,64.7,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,6
