Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Eliezer Mayenda,12.0,es ESP,FW,19-108,79,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.11392405063291139,0.0,0.0,0.0,0.0012658227848101266,0.0012658227848101266,0.0,0.0,0.0,0.02531645569620253,0.0379746835443038,0.8443037974683545,0.0,0.0759493670886076,0.012658227848101266,0.0,0.0,0.0,0.0,0.0
Nazariy Rusyn,15.0,ua UKR,FW,25-304,11,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,4.545454545454546,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0
Romaine Mundle,14.0,eng ENG,LW,21-122,89,0.011235955056179775,0.0,0.0,0.0,0.056179775280898875,0.011235955056179775,0.0,0.0,0.48314606741573035,0.02247191011235955,0.0,0.02247191011235955,0.0022471910112359553,0.0022471910112359553,0.0022471910112359553,0.0449438202247191,0.0,0.2247191011235955,0.29213483146067415,0.8640449438202248,0.0449438202247191,0.2696629213483146,0.06741573033707865,0.0449438202247191,0.02247191011235955,0.0,0.056179775280898875,0.0449438202247191
Nectarios Triantis,25.0,au AUS,LW,21-105,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Roberts,10.0,eng ENG,RW,27-201,89,0.0,0.011235955056179775,0.0,0.0,0.0449438202247191,0.0,0.0,0.0,0.5955056179775281,0.056179775280898875,0.0,0.011235955056179775,0.0022471910112359553,0.0022471910112359553,0.0011235955056179776,0.033707865168539325,0.011235955056179775,0.34831460674157305,0.47191011235955055,0.8292134831460674,0.0898876404494382,0.3146067415730337,0.06741573033707865,0.033707865168539325,0.02247191011235955,0.0,0.0,0.056179775280898875
Daniel Ballard,5.0,nir NIR,RW,24-337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Rigg,11.0,eng ENG,AM,17-067,71,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.28169014084507044,0.014084507042253521,0.0,0.014084507042253521,0.0014084507042253522,0.0014084507042253522,0.0,0.014084507042253521,0.0,0.08450704225352113,0.16901408450704225,0.704225352112676,0.028169014084507043,0.1267605633802817,0.0,0.028169014084507043,0.0,0.0,0.014084507042253521,0.0
Alan Browne,8.0,ie IRL,AM,29-131,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.10526315789473684,0.0,0.3157894736842105,0.42105263157894735,3.9473684210526314,0.10526315789473684,0.2631578947368421,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
Jobe Bellingham,7.0,eng ENG,DM,18-336,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4222222222222222,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0011111111111111111,0.022222222222222223,0.0,0.26666666666666666,0.35555555555555557,0.8333333333333334,0.022222222222222223,0.2111111111111111,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223
Daniel Neil,4.0,eng ENG,DM,23-028,84,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.023809523809523808,0.011904761904761904,0.4166666666666667,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.2976190476190476,0.38095238095238093,0.9297619047619047,0.011904761904761904,0.2261904761904762,0.0,0.0,0.0,0.0,0.011904761904761904,0.023809523809523808
Dennis Cirkin,3.0,eng ENG,LB,22-140,90,0.0,0.0,0.0,0.0,0.022222222222222223,0.011111111111111112,0.0,0.0,0.6,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.0011111111111111111,0.0011111111111111111,0.0,0.03333333333333333,0.0,0.35555555555555557,0.5,0.7899999999999999,0.05555555555555555,0.24444444444444444,0.03333333333333333,0.022222222222222223,0.022222222222222223,0.0,0.011111111111111112,0.03333333333333333
