Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Matchweek 1,Sat,Away,W,2.0,0.0,Cardiff City,1.8,1.0,36.0,21401.0,Daniel Neil,4-2-3-1,4-2-3-1
Matchweek 2,Sun,Home,W,4.0,0.0,Sheffield Weds,1.6,0.4,50.0,40022.0,Daniel Neil,4-2-3-1,4-2-3-1
Matchweek 3,Sat,Home,W,1.0,0.0,Burnley,0.7,0.1,41.0,40096.0,Daniel Neil,4-2-3-1,4-4-2
Matchweek 4,Sat,Away,W,3.0,1.0,Portsmouth,2.0,0.4,46.0,20231.0,Luke O'Nien,4-1-4-1,4-2-3-1
Matchweek 5,Sat,Away,L,2.0,3.0,Plymouth Argyle,1.7,1.7,51.0,16967.0,Daniel Neil,4-3-3,4-2-3-1
Matchweek 6,Sat,Home,W,1.0,0.0,Middlesbrough,1.1,1.3,37.0,42781.0,Daniel Neil,4-2-3-1,4-2-3-1
Matchweek 7,Sat,Away,L,1.0,2.0,Watford,1.0,1.9,51.0,20335.0,Daniel Neil,4-3-3,3-4-3
Matchweek 8,Tue,Home,W,2.0,0.0,Derby County,1.0,0.9,51.0,39017.0,Daniel Neil,4-3-3,5-4-1
Matchweek 9,Fri,Home,D,2.0,2.0,Leeds United,1.6,2.3,49.0,41769.0,Daniel Neil,4-3-3,4-2-3-1
Matchweek 10,Sun,Away,,,,Hull City,,,,,,,
Matchweek 11,Wed,Away,,,,Luton Town,,,,,,,
Matchweek 12,Sat,Home,,,,Oxford United,,,,,,,
Matchweek 13,Sat,Away,,,,QPR,,,,,,,
Matchweek 14,Wed,Away,,,,Preston,,,,,,,
Matchweek 15,Sat,Home,,,,Coventry City,,,,,,,
Matchweek 16,Sat,Away,,,,Millwall,,,,,,,
Matchweek 17,Tue,Home,,,,West Brom,,,,,,,
Matchweek 18,Fri,Away,,,,Sheffield Utd,,,,,,,
Matchweek 19,Sat,Home,,,,Stoke City,,,,,,,
Matchweek 20,Tue,Home,,,,Bristol City,,,,,,,
Matchweek 21,Sat,Away,,,,Swansea City,,,,,,,
Matchweek 22,Sat,Home,,,,Norwich City,,,,,,,
Matchweek 23,Thu,Away,,,,Blackburn,,,,,,,
Matchweek 24,Sun,Away,,,,Stoke City,,,,,,,
Matchweek 25,Wed,Home,,,,Sheffield Utd,,,,,,,
Matchweek 26,Sun,Home,,,,Portsmouth,,,,,,,
Matchweek 27,Sat,Away,,,,Burnley,,,,,,,
Matchweek 28,Tue,Away,,,,Derby County,,,,,,,
Matchweek 29,Sat,Home,,,,Plymouth Argyle,,,,,,,
Matchweek 30,Sat,Away,,,,Middlesbrough,,,,,,,
Matchweek 31,Sat,Home,,,,Watford,,,,,,,
Matchweek 32,Wed,Home,,,,Luton Town,,,,,,,
Matchweek 33,Sat,Away,,,,Leeds United,,,,,,,
Matchweek 34,Sat,Home,,,,Hull City,,,,,,,
Matchweek 35,Sat,Away,,,,Sheffield Weds,,,,,,,
Matchweek 36,Sat,Home,,,,Cardiff City,,,,,,,
Matchweek 37,Tue,Home,,,,Preston,,,,,,,
Matchweek 38,Sat,Away,,,,Coventry City,,,,,,,
Matchweek 39,Sat,Home,,,,Millwall,,,,,,,
Matchweek 40,Sat,Away,,,,West Brom,,,,,,,
Matchweek 41,Tue,Away,,,,Norwich City,,,,,,,
Matchweek 42,Sat,Home,,,,Swansea City,,,,,,,
Matchweek 43,Fri,Away,,,,Bristol City,,,,,,,
Matchweek 44,Mon,Home,,,,Blackburn,,,,,,,
Matchweek 45,Sat,Away,,,,Oxford United,,,,,,,
Matchweek 46,Sat,Home,,,,QPR,,,,,,,
