Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Eliezer Mayenda,12.0,es ESP,FW,19-129,78,0,0,0,0,2,1,0,0,13,0,0,2,0.3,0.3,0.0,2,0,4,6,66.7,1,8,2,4,3,0,1,1
Wilson Isidor,18.0,fr FRA,FW,24-018,12,0,0,0,0,2,1,0,0,5,0,0,1,0.1,0.1,0.0,1,0,2,2,100.0,0,3,0,0,0,0,0,0
Romaine Mundle,14.0,eng ENG,LW,21-143,90,1,0,0,0,3,1,1,0,50,2,1,1,0.2,0.2,0.1,4,0,20,38,52.6,2,35,10,9,6,0,2,5
Patrick Roberts,10.0,eng ENG,RW,27-222,90,1,0,1,1,0,0,1,0,50,4,0,0,0.8,0.0,0.4,4,0,28,38,73.7,4,27,4,5,1,0,2,0
Jobe Bellingham,7.0,eng ENG,LM,18-357,90,0,0,0,0,2,0,1,0,47,4,0,1,0.1,0.1,0.2,4,0,28,34,82.4,5,17,2,0,0,0,1,0
Daniel Neil,4.0,eng ENG,CM,23-049,90,0,0,0,0,1,0,0,0,57,3,1,0,0.1,0.1,0.0,2,0,40,47,85.1,7,25,1,1,0,0,0,2
Chris Rigg,11.0,eng ENG,RM,17-088,69,0,0,0,0,2,1,0,0,21,0,0,0,0.1,0.1,0.0,1,1,12,14,85.7,2,11,1,5,4,0,1,1
Alan Browne,8.0,ie IRL,RM,29-152,21,0,0,0,0,1,1,0,0,14,0,0,1,0.0,0.0,0.0,2,0,5,10,50.0,1,3,0,0,0,0,0,1
Dennis Cirkin,3.0,eng ENG,LB,22-161,90,0,0,0,0,2,0,0,0,61,5,2,1,0.1,0.1,0.1,3,1,36,44,81.8,3,23,1,1,1,0,1,0
Luke O'Nien,13.0,eng ENG,CB,29-298,90,0,0,0,0,0,0,0,0,84,3,1,2,0.0,0.0,0.0,3,0,58,74,78.4,8,41,1,0,0,0,0,0
Daniel Ballard,5.0,nir NIR,CB,24-358,90,0,0,0,0,1,0,0,0,63,0,1,1,0.0,0.0,0.0,2,0,47,53,88.7,6,27,0,0,0,0,2,1
Trai Hume,32.0,nir NIR,RB,22-180,90,0,0,0,0,0,0,1,0,55,3,3,0,0.0,0.0,0.0,1,1,37,47,78.7,4,17,1,1,0,0,2,1
Anthony Patterson,1.0,eng ENG,GK,24-127,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,32,42,76.2,0,22,0,0,0,4,0,0
