Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Fouls_Committed,Fouls_Won ,Saves
Jobe Bellingham,eng ENG,MF,19-024,9,9,810.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0,1.7,11.0,27.0,23.0,0.11,0.11,0.22,0.11,0.22,0.07,0.11,0.18,0.07,0.18,10,13,0
Dennis Cirkin,eng ENG,DF,22-194,9,9,810.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.4,2.1,22.0,28.0,29.0,0.11,0.11,0.22,0.11,0.22,0.08,0.16,0.24,0.08,0.24,10,16,0
Trai Hume,nir NIR,DF,22-213,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.8,0.9,13.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,7,5,0
Luke O'Nien,eng ENG,DF,29-331,9,9,810.0,9.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2,1.5,8.0,39.0,2.0,0.22,0.11,0.33,0.22,0.33,0.14,0.02,0.16,0.14,0.16,4,10,0
Anthony Patterson,eng ENG,GK,24-160,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23
Patrick Roberts,eng ENG,FW,27-255,9,9,721.0,8.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,0.0,1.6,0.8,2.0,2.8,34.0,46.0,52.0,0.12,0.37,0.5,0.0,0.37,0.2,0.24,0.45,0.11,0.35,9,8,0
Daniel Neil,eng ENG,MF,23-082,8,8,714.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.2,0.4,6.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,8,9,0
Chris Rigg,eng ENG,MF,17-121,9,8,645.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,0.2,2.4,12.0,24.0,40.0,0.28,0.0,0.28,0.28,0.28,0.31,0.03,0.34,0.31,0.34,17,9,0
Romaine Mundle,eng ENG,"FW,MF",21-176,9,7,611.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.7,47.0,26.0,64.0,0.44,0.0,0.44,0.44,0.44,0.17,0.08,0.24,0.17,0.24,5,22,0
Eliezer Mayenda,es ESP,FW,19-162,6,6,481.0,5.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.9,2.9,1.2,4.1,8.0,3.0,21.0,0.37,0.37,0.75,0.37,0.75,0.55,0.22,0.77,0.55,0.77,3,3,0
Chris Mepham,wls WAL,DF,26-347,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,6.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2,0,0
Wilson Isidor,fr FRA,FW,24-051,6,3,287.0,3.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,4.0,2.0,15.0,0.63,0.0,0.63,0.63,0.63,0.47,0.07,0.54,0.47,0.54,1,5,0
Ajibola Alese,eng ENG,DF,23-274,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Alan Browne,ie IRL,MF,29-185,6,2,255.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,3.0,8.0,12.0,0.35,0.0,0.35,0.35,0.35,0.35,0.05,0.39,0.35,0.39,2,7,0
Daniel Ballard,nir NIR,DF,25-025,4,2,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,3,3,0
Jack Clarke,eng ENG,FW,23-329,2,2,179.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,6.0,3.0,13.0,0.5,0.5,1.01,0.5,1.01,0.05,0.56,0.61,0.05,0.61,,,0
Nazariy Rusyn,ua UKR,FW,25-358,6,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0,0,0
Ian Poveda,eng ENG,"FW,MF",24-251,3,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.26,0.11,0.26,0,0,0
Tom Watson,eng ENG,FW,18-192,3,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0,0,0
Adil Aouchiche,fr FRA,MF,22-094,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Nectarios Triantis,au AUS,FW,21-159,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Milan Aleksić,rs SRB,FW,19-048,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Abdoullah Ba,fr FRA,MF,21-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Aaron Connolly,ie IRL,FW,24-263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ben Crompton,eng ENG,DF,20-305,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
