Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Fouls_Committed,Fouls_Won ,Saves
Jobe Bellingham,eng ENG,MF,19-031,11,11,990.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,1.0,1.7,12.0,32.0,28.0,0.09,0.09,0.18,0.09,0.18,0.07,0.09,0.16,0.07,0.16,10,13,0
Dennis Cirkin,eng ENG,DF,22-201,11,11,990.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.4,2.2,26.0,35.0,37.0,0.09,0.09,0.18,0.09,0.18,0.07,0.13,0.2,0.07,0.2,10,16,0
Trai Hume,nir NIR,DF,22-220,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.8,1.1,14.0,52.0,27.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1,7,5,0
Luke O'Nien,eng ENG,DF,29-338,11,11,990.0,11.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.2,1.5,11.0,52.0,3.0,0.18,0.09,0.27,0.18,0.27,0.11,0.02,0.13,0.11,0.13,4,10,0
Anthony Patterson,eng ENG,GK,24-167,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23
Daniel Neil,eng ENG,MF,23-089,10,10,894.0,9.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.7,0.9,7.0,46.0,7.0,0.0,0.2,0.2,0.0,0.2,0.03,0.07,0.1,0.03,0.1,9,8,0
Chris Rigg,eng ENG,"MF,FW",17-128,11,10,824.0,9.2,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.5,3.1,16.0,35.0,49.0,0.33,0.0,0.33,0.33,0.33,0.29,0.05,0.34,0.29,0.34,8,9,0
Patrick Roberts,eng ENG,FW,27-262,11,10,815.0,9.1,1.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,1.7,1.0,2.0,2.9,41.0,51.0,66.0,0.11,0.33,0.44,0.0,0.33,0.19,0.22,0.41,0.11,0.32,17,9,0
Romaine Mundle,eng ENG,FW,21-183,11,9,781.0,8.7,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.3,1.3,0.8,2.1,60.0,29.0,80.0,0.46,0.0,0.46,0.46,0.46,0.15,0.09,0.24,0.15,0.24,5,22,0
Chris Mepham,wls WAL,DF,26-354,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,6.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,3,3,0
Eliezer Mayenda,es ESP,FW,19-169,6,6,481.0,5.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.9,2.9,1.2,4.1,8.0,3.0,21.0,0.37,0.37,0.75,0.37,0.75,0.55,0.22,0.77,0.55,0.77,2,0,0
Wilson Isidor,fr FRA,FW,24-058,8,5,427.0,4.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,2.2,5.0,4.0,18.0,0.63,0.0,0.63,0.63,0.63,0.42,0.05,0.47,0.42,0.47,1,5,0
Alan Browne,ie IRL,MF,29-192,8,3,351.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.3,4.0,8.0,15.0,0.26,0.0,0.26,0.26,0.26,0.29,0.05,0.34,0.29,0.34,1,0,0
Ajibola Alese,eng ENG,DF,23-281,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0
Daniel Ballard,nir NIR,DF,25-032,4,2,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,3,3,0
Jack Clarke,eng ENG,FW,23-336,2,2,179.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,6.0,3.0,13.0,0.5,0.5,1.01,0.5,1.01,0.05,0.56,0.61,0.05,0.61,,,0
Nazariy Rusyn,ua UKR,FW,25-365,6,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0,0,0
